Date,ATM_WITHDRWLS_1WEEKAGO,HOLIDAY,AVG_ATM_WITHDRW_PREVMONTH,ATM_WITHDRWLS_2WEEKAGO,DAY_OF_WEEK,MONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,BRA_WITHDRWLS,BRA_DEPOSITS,IsSaturday,IsSunday
2006-05-26,-8163.561311417434,5864.701328158161,-7062.660481805679,-6670.8685087326085,-8435.308232329342,-557.3096015944584,11665.810292301045,17436.82249221268,56249.610157705894,7721.304662767523,18331.356178938764,975.9530005467486,3287.247290749203,17436.82249221268
2006-05-27,-3212.596051899338,9547.490936090417,-3458.0687494717395,-5514.413586100396,-14117.641303094864,842.1028543348366,26819.6817969884,25623.0525774688,73464.51333677818,1449.9500317890815,40294.42042387751,-12404.132428474768,6548.8792834616925,25623.052577468712
2006-05-28,-1903.1913931394029,10232.169837155603,-1032.8569275307996,-4767.428392791855,-13964.834574723123,421.11863895313945,25844.2060125229,26842.206715547276,74413.17908162685,-1881.8297831702866,42547.80343132091,-14008.66478096722,6194.06523429038,26842.206715547312
2006-05-29,-1502.3745916264588,10602.084326067237,378.58806403861763,-4128.4078797433685,-12945.1231284983,-319.69469716265303,27148.289606176688,26851.796315038224,75580.06048591677,-3426.3019366590815,39658.409302310894,-11302.752804750911,5761.937650548212,26851.7963150381
2006-05-30,-2029.4370167894704,10589.86527040134,1298.7168050161054,-3928.3565567788537,-12192.889923180774,-668.7997909101687,27621.33127210512,26729.853262586123,75084.77602073434,-4065.658833786849,40536.605182625164,-11876.133131365925,5568.9977810420205,26729.853262586137
2006-05-31,-1907.0794278183675,10580.900882654154,1125.1924047769244,-3666.5283120288914,-12096.271374341279,-791.5914274337738,27801.936295590298,26716.99592074767,75403.91935609149,-3876.336811940386,40825.8119927595,-12569.138698069211,5622.535081499207,26716.995920747555
2006-06-01,-1740.6273344932051,10685.101425951492,684.8720396795106,-4021.396441715384,-12501.791842774532,-1186.402372623903,27735.435040629873,26918.33462549603,76235.43606053352,-3669.9609009423802,37799.770195057674,-9753.083844708955,5857.562214073372,26918.334625495943
2006-06-02,-5775.69931913808,6093.212458229405,-2638.92464893274,-5056.940275241015,-8184.34490259044,312.35616259660355,11145.977566289363,16023.64405098583,60148.50817261663,-159.84454685507262,16913.88731254355,-3377.8252574076487,3190.9254727472626,16023.644050985822
2006-06-03,-7795.687231278528,5758.559856418286,-1380.6983721815145,-5329.559595661905,-8378.093478025625,1437.297860901056,11107.513478464974,14585.681510022543,59022.70110041464,268.67159363906103,18220.921936639803,-3213.9456826316537,4100.816386627683,14585.681510022543
2006-06-04,-4668.329354336789,9942.995699528412,1025.171453284118,-4476.90438081653,-11751.768892553402,2727.3173554753594,24116.82472223439,25453.586117624014,72801.00017254105,-1282.5311035052873,42542.07306371211,-16353.169375748294,6108.929455791456,25453.58611762413
2006-06-05,-4773.8640492378945,9898.401027959422,1455.1137373668244,-4430.975273064203,-11194.521215941466,2860.855608478916,25065.5734389132,25233.742572494637,73244.20484727723,-1474.1063645545364,42059.1103870446,-16106.395619733536,5957.173013678963,25233.742572494608
2006-06-06,-4844.727508088103,9879.66341454815,367.43551499400564,-3500.1549812577578,-13222.368475079365,4182.753491739772,24414.876199768376,25822.37116467374,73888.29721511147,-193.45170114262146,44362.261770785684,-17772.429281629702,6370.3311152879505,25822.37116467374
2006-06-07,-4430.780671407549,9774.574134312508,1030.5511760723239,-3649.6135196684336,-13712.972504146695,4236.67006097782,23664.192020232396,25698.086110666205,74365.9677274131,-760.4365386058416,43743.13629245697,-19088.60690842641,6685.36773985489,25698.086110666292
2006-06-08,-4243.738764240108,9805.107444203502,1376.302322221518,-3596.3429483975033,-14251.921230221637,4292.640422320845,23629.315779713426,25974.000776120643,74755.77118653124,-1008.8839866234994,43135.62251155118,-18792.005385030905,7032.31157114084,25974.000776120585
2006-06-09,-3973.760630494112,9625.314474505401,1424.6215527456643,-3978.2296826331585,-15586.530824462545,4362.161621149291,22037.92602437011,25899.90541404475,75436.96467241769,-1233.5927433029028,42905.38947334555,-20039.44415563762,7373.7606166481455,25899.90541404475
2006-06-10,-2761.3109364863312,9969.362896224546,853.0889343181898,-2888.579544000808,-15165.941731966062,3668.5723474637925,23347.06551194533,25855.37944665126,76080.71979399772,-1441.5895739583284,41272.04428728467,-18445.15807580196,7030.643531575242,25855.3794466512
