Date,MAE,RMSE,SMAPE,Residual
2006-05-26,2700.6088323720614,2700.6088323720614,3.2261366760122283,-2700.6088323720614
2006-05-27,26601.719191347438,26601.719191347438,96.8714001783774,-26601.719191347438
2006-05-28,13550.83091640751,13550.83091640751,124.25781455408655,-13550.83091640751
2006-05-29,22185.798293625427,22185.798293625427,86.41719101046596,-22185.798293625427
2006-05-30,17164.500329809038,17164.500329809038,93.37540385877016,-17164.500329809038
2006-05-31,12069.250359817393,12069.250359817393,66.37063035619848,-12069.250359817393
2006-06-01,16478.98803725328,16478.98803725328,200.0,16478.98803725328
2006-06-02,704.0014084668728,704.0014084668728,3.0598115004132844,704.0014084668728
2006-06-03,2342.1774354374065,2342.1774354374065,11.66940901103057,-2342.1774354374065
2006-06-04,16905.442026918696,16905.442026918696,140.55915761027114,16905.442026918696
2006-06-05,10071.071763220709,10071.071763220709,21.00570305333298,10071.071763220709
2006-06-06,6266.3237928129965,6266.3237928129965,30.355445664086083,-6266.3237928129965
2006-06-07,3129.199259058427,3129.199259058427,22.618647036082766,-3129.199259058427
2006-06-08,31236.450740276254,31236.450740276254,118.68752661309212,-31236.450740276254
2006-06-09,4842.674058230004,4842.674058230004,44.17959273916234,-4842.674058230004
2006-06-10,23574.026279049795,23574.026279049795,143.8579811850524,-23574.026279049795
2006-06-11,665.3382159317916,665.3382159317916,17.3144810869231,-665.3382159317916
2006-06-12,42811.798379076274,42811.798379076274,160.66937007659809,-42811.798379076274
2006-06-13,22318.149227942304,22318.149227942304,139.4093647890504,-22318.149227942304
2006-06-14,9584.184916826664,9584.184916826664,92.94122366995663,-9584.184916826664
2006-06-15,11954.072015461054,11954.072015461054,77.79035598958347,-11954.072015461054
2006-06-16,21973.915076545687,21973.915076545687,48.99756033125085,-21973.915076545687
2006-06-17,3314.915187456172,3314.915187456172,9.372783380516514,-3314.915187456172
2006-06-18,4068.8583884790132,4068.8583884790132,20.05902334996201,-4068.8583884790132
2006-06-19,3924.7353171889117,3924.7353171889117,5.069907349298314,-3924.7353171889117
2006-06-20,11322.754429838751,11322.754429838751,17.51355488097141,-11322.754429838751
2006-06-21,1244.2708370201435,1244.2708370201435,1.6462499109484299,-1244.2708370201435
2006-06-22,17602.98052815284,17602.98052815284,22.17796398881521,-17602.98052815284
2006-06-23,9251.19263937042,9251.19263937042,12.599410972560532,-9251.19263937042
2006-06-24,21300.434918629733,21300.434918629733,55.81175497573619,21300.434918629733
2006-06-25,7428.192788899698,7428.192788899698,32.998199090809706,7428.192788899698
2006-06-26,20884.162380218302,20884.162380218302,18.175484658289285,20884.162380218302
2006-06-27,11041.015291819676,11041.015291819676,25.75133426524677,-11041.015291819676
2006-06-28,6185.918838595084,6185.918838595084,25.04627501234684,-6185.918838595084
2006-06-29,225.0667771577173,225.0667771577173,1.760736861120297,-225.0667771577173
2006-06-30,15889.254512047228,15889.254512047228,92.84020197667402,-15889.254512047228
2006-07-01,16768.765944477214,16768.765944477214,75.41817537916096,-16768.765944477214
2006-07-02,7417.443602005165,7417.443602005165,55.35933734701576,-7417.443602005165
2006-07-03,10570.6624552344,10570.6624552344,34.08205567000971,-10570.6624552344
2006-07-04,4918.711462508814,4918.711462508814,15.280552688207328,-4918.711462508814
2006-07-05,3916.694529126944,3916.694529126944,5.805808737723924,3916.694529126944
2006-07-06,450.1094459800479,450.1094459800479,1.9247739691519383,-450.1094459800479
2006-07-07,8630.777608269498,8630.777608269498,28.70668882579875,-8630.777608269498
2006-07-08,16020.91210779698,16020.91210779698,94.96430953978157,-16020.91210779698
2006-07-09,8562.713074557327,8562.713074557327,115.84765301701887,-8562.713074557327
2006-07-10,1582.8243481596437,1582.8243481596437,12.471617235726605,-1582.8243481596437
2006-07-11,1338.5188276626795,1338.5188276626795,23.61011782944848,-1338.5188276626795
2006-07-12,11055.04521665327,11055.04521665327,200.0,11055.04521665327
2006-07-13,6076.228369972669,6076.228369972669,99.57951613945532,6076.228369972669
2006-07-14,1125.487120206737,1125.487120206737,20.911064583692568,1125.487120206737
2006-07-15,11449.585924170322,11449.585924170322,73.41928778411567,-11449.585924170322
2006-07-16,101.5313140360231,101.5313140360231,1.2275926830289348,-101.5313140360231
2006-07-17,689.3632183050722,689.3632183050722,1.343272593846585,-689.3632183050722
2006-07-18,1535.086927202734,1535.086927202734,3.3275575373682122,-1535.086927202734
2006-07-19,4329.847149696703,4329.847149696703,9.607988032347228,4329.847149696703
2006-07-20,7762.522436712272,7762.522436712272,17.874160416542598,7762.522436712272
2006-07-21,12668.053479793889,12668.053479793889,15.356896614433355,12668.053479793889
2006-07-22,8919.166052667973,8919.166052667973,40.58701622524912,8919.166052667973
2006-07-23,11437.048558820741,11437.048558820741,70.74546584234504,11437.048558820741
2006-07-24,3904.0037223280015,3904.0037223280015,6.390263763870313,3904.0037223280015
2006-07-25,5181.293252019415,5181.293252019415,7.485324550816053,5181.293252019415
2006-07-26,26659.61432405081,26659.61432405081,38.70713565443832,26659.61432405081
2006-07-27,5187.90670861378,5187.90670861378,21.344099203944573,5187.90670861378
2006-07-28,1547.7667804219054,1547.7667804219054,8.239865784241983,-1547.7667804219054
2006-07-29,16342.843717405289,16342.843717405289,141.6630209745395,-16342.843717405289
2006-07-30,7025.903786418687,7025.903786418687,88.28783939262074,-7025.903786418687
2006-07-31,7714.20879743671,7714.20879743671,45.49248867052892,-7714.20879743671
2006-08-01,7376.117319355275,7376.117319355275,39.89906812365455,7376.117319355275
2006-08-02,10022.996591804924,10022.996591804924,45.1516806197547,10022.996591804924
