Date,ATM_WITHDRWLS_1WEEKAGO,HOLIDAY,AVG_ATM_WITHDRW_PREVMONTH,ATM_WITHDRWLS_2WEEKAGO,DAY_OF_WEEK,MONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,BRA_WITHDRWLS,BRA_DEPOSITS,IsSaturday,IsSunday
2006-05-26,-6276.953527134438,7741.838693037754,-2706.0679799287054,-5944.1914187656885,-5397.885980864593,-7263.884106371398,8519.123751388042,13548.616775399252,35171.06818618025,3744.769935428149,24518.56594625631,4660.30822172938,2776.1512008573573,13548.616775399249
2006-05-27,-6098.718023921096,7669.1553298250965,-2893.2639248059213,-6028.145497992668,-6202.278124896018,-4196.82838791935,9182.311069621426,12806.906251482671,36679.4185355004,232.81978419981078,24659.654075912607,4674.5587295165815,3624.379496657949,12806.90625148267
2006-05-28,-6432.782971105066,7291.023274619991,-2760.283744043134,-5634.689079419927,-5628.42813372031,-6882.698916371539,9923.911866766915,12581.44775521411,35984.44971124263,3250.056044737936,24380.29716609803,4486.344742547038,3577.646950532475,12581.447755214107
2006-05-29,-6351.253338875691,7298.926478252372,-2898.4521691858663,-5362.280785805755,-5188.772116454949,-4705.006327401557,9895.580008998388,12323.309490278456,35568.64824591078,530.6940947873704,24066.29668533471,4322.306490695719,3405.9175874490256,12323.309490278456
2006-05-30,-3713.1556527055654,9904.015534808124,-1225.226709036715,-4141.989979426653,-3939.353357218879,-8307.294144606498,21520.91860804966,17537.178425809623,43165.54353979277,4861.825842020618,43636.65289488079,-8192.559864685216,4129.1238666277695,17537.17842580968
2006-05-31,-3714.517428463787,9834.058464812635,-994.6333283741819,-3930.4707805153967,-3956.947497708311,-8249.886598290039,21485.935265592874,17505.213578789233,42841.72766413952,5033.180002193967,43345.99495041568,-8426.027210097167,4223.693965153479,17505.21357878929
2006-06-01,-3799.6136060102062,9818.869123508044,-1266.3970489021503,-4042.02636821472,-3617.779461614702,-8105.387974799261,21395.571117635944,17294.38624916154,42595.66506104624,4852.66052634154,42979.193900549966,-8172.963925152037,3957.987942818111,17294.386249161467
2006-06-02,-2948.125371506645,9758.634121383848,-2361.9669017463566,-3521.6170504615184,-2462.9410325922563,-2553.8756431383226,22385.9209801808,17017.24237735444,42695.253962513256,-706.1507473428064,43758.53900195013,-9147.535637888706,3546.130673695562,17017.242377354425
2006-06-03,-4280.243648465572,9652.058527953692,-760.8172109804659,-3693.6771621226653,-2212.509052766015,-6319.753207217362,21500.681125665706,15394.525879466313,42418.352772943545,3652.458113589519,45018.106880513,-10862.940029041962,2883.0048712245625,15394.525879466255
2006-06-04,-4493.656692870682,9612.999514023551,-1194.6701147897675,-3776.0746923185425,-2735.4285789228534,-3111.3174375050385,19922.36242877879,16159.533680957982,42454.79826934349,668.0608643463383,44770.60064055339,-11143.3977175064,2932.2695281428605,16159.533680957924
2006-06-05,-8990.333399274434,6647.47086861608,-1684.3589567664358,-4599.441447382611,-4283.624292958108,745.3902898948209,9525.449940485332,10890.969150090654,35474.19533340266,-3239.640492304964,22802.7605699186,2688.6210473002902,2537.4483020556927,10890.969150090656
2006-06-06,-5840.531112030825,9122.36284589388,-2313.053445369209,-3189.5979642717866,-4711.2163187339975,3982.386231136101,19515.11754569539,16077.082109893414,42461.75027106177,-5502.022840550755,45559.451365583016,-12256.091201661453,3363.494059574241,16077.082109893327
2006-06-07,-5327.838571093993,9144.489886075502,-1811.1996521569163,-3015.740985901357,-4059.5321395788706,2515.8905857916616,20348.746639130604,16131.3654334602,42624.182888442265,-3787.801811535002,47059.85226759459,-13597.53471338225,3363.1093759538953,16131.3654334602
2006-06-08,-5015.855670066852,9207.017680905386,-1585.031520180397,-2879.006032639496,-4075.101460604059,1498.3283921960174,20823.86639038311,16364.31457855664,42781.148198045055,-2782.673816970103,47456.99822088735,-13646.035035005432,3506.336208965995,16364.31457855664
2006-06-09,-5041.224144900007,9076.868040006242,-2029.3359024601777,-2425.318064298599,-3805.103003480901,448.7404782913145,21247.367180674282,16380.611628062197,42006.64041655794,-2376.757280501562,48037.128973300976,-13615.071886355207,3980.642054091114,16380.611628062168
2006-06-10,-2810.014065812531,9480.244873801086,-2781.932587718242,-517.4308463023626,-95.36455476141418,-2422.5897965355543,25315.55509725421,16183.364473753303,41424.91655136814,-27.71787702945585,62366.93697393244,-26641.992204894777,2423.176392534224,16183.364473751906
2006-06-11,-2986.911695364048,9310.297032060094,-3241.309125475411,-452.78768362952565,194.939493555401,-4424.373050468508,25366.35720152789,16328.904231770546,41021.76713484287,962.1221202935994,62929.073773289565,-26735.16171992052,2386.047841537773,16328.904231770779
2006-06-12,-2783.610599539068,9376.107054394597,-3351.883642460045,105.04233330278657,175.76399683945056,-5517.375369693851,25908.583023537183,16390.900925864174,41191.84682055353,1648.988819136015,63654.805701126694,-27194.96808831411,2376.0493493864487,16390.90092586371
2006-06-13,-4468.8637350217905,8168.183378088055,-3101.6226286577294,252.13917143963045,2120.3215620670235,-7191.747023555916,26522.27138464304,15506.50578806334,39883.2025863945,3321.8344785405134,66427.50288850427,-29733.001955779473,2296.9832096299506,15506.505788062408
2006-06-14,-3504.098114342196,7747.1043687616475,-3816.3013611173374,1766.0937623342616,2820.6116398186423,-8957.420929421904,27176.47075027958,15200.062260283943,39760.0803145057,4204.143073737498,68112.92575162038,-32478.458268628157,2111.5355776842625,15200.062260284409
2006-06-15,-3599.28582960898,7948.507656991249,-4499.381547490426,2180.0414121828508,3378.455243113771,-10144.097235010646,27382.08446573089,14924.116252403663,39066.98802411539,4359.2625107012955,68370.06790036806,-32349.577996628315,1776.938896564956,14924.116252403663
2006-06-16,-3788.5094288813125,7598.235405559419,-5130.670914955379,1961.9579985274795,1690.5951724264014,-11076.721460165572,26985.97311137998,15549.522847391287,38946.27817690887,4278.933767918199,66721.6779817806,-30505.617400164192,3086.630915669928,15549.522847390355
2006-06-17,-3190.7347096741432,7157.0410970838275,-4843.948318342213,2448.058276335505,2148.684057945735,-11075.835931702983,26971.169470366964,14528.494338679971,38389.561420768056,4768.093132526359,67923.54392467023,-32614.349801602133,2327.781890905986,14528.494338680903
