Date,ATM_WITHDRWLS_1WEEKAGO,HOLIDAY,AVG_ATM_WITHDRW_PREVMONTH,ATM_WITHDRWLS_2WEEKAGO,DAY_OF_WEEK,MONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,BRA_WITHDRWLS,BRA_DEPOSITS,IsSaturday,IsSunday
2006-05-26,-5804.807667974495,15177.309731162344,-838.9565022391167,-10661.654989586068,-1933.7243167566812,-482.6251254553481,10251.971823178354,15340.294218489322,47536.67036898264,4971.362626750713,26720.172145287746,1017.9048054462955,5683.612894249265,15340.294218489329
2006-05-27,-5591.276664772273,15097.720237470694,-1057.01072571131,-10936.853105877053,-1879.4911504652046,275.06982443932975,11076.097565608881,15055.22710347511,48159.24215657084,4279.636533056653,27281.136130569485,1671.8565397021612,6743.943270372227,15055.227103475103
2006-05-28,-6136.236661691099,14885.893426687726,-230.34672125873382,-10845.2905908414,-1570.805126726803,-295.2075209424279,11663.519815217403,15156.591948496181,48146.76511625724,6113.2636403012075,26884.981080200167,1574.182711726542,6780.8919264117,15156.591948496181
2006-05-29,-6197.6370152769505,14768.636293129815,-591.1534988817175,-10733.250435456885,-1266.7054605097846,-122.86210086559186,11594.445295761188,14843.146752820945,48094.519293451856,4389.230060276714,26054.575822277297,1251.9957302648472,6714.869958509108,14843.146752820956
2006-05-30,-6390.199739311058,14873.515519403141,74.75301137377897,-10595.688373509645,-1006.6765619147386,-545.4573781321733,11858.408017050666,14886.650938442974,48352.15124761798,4906.373282735217,25980.927605497644,1171.6098941484217,6640.530810130298,14886.650938442974
2006-05-31,-6558.624047778131,14909.151001465849,-232.29021841915778,-10598.799030483007,-969.4877799304163,-1044.0881606905978,11793.7300459862,14837.055800219641,48989.40760833144,4721.584778313601,25568.74307362897,977.6784040193552,6561.854661263838,14837.05580021963
2006-06-01,-6394.078753793794,14929.09120801326,-666.5330744218194,-10893.292847221423,-483.5985498245584,-1244.7249897271067,11779.499197387899,14586.156596282364,48972.570046169756,4601.273398207398,25445.855714451467,1060.5225691574767,6201.650944345402,14586.156596282377
2006-06-02,-5794.444246083762,14962.29351091094,-557.933898455584,-10320.24098054645,60.23219142986454,-617.2388567674598,12207.989457857682,14430.00899483362,49070.64426712382,4645.349061595993,25648.581051644553,702.7525693397134,5552.989181548477,14430.008994833604
2006-06-03,-6278.7021531062655,14987.89099106498,-112.33153146801487,-10632.59173689529,-108.86969272078142,-517.093545420908,12164.295822144377,13700.403506055125,48787.17321558153,4614.133621573974,25634.763442176507,810.5818990457525,5606.412314829098,13700.403506055136
2006-06-04,-6130.89734545999,15071.312636130158,237.94724515555984,-10437.79544983544,305.9214175824694,-17.102231312202036,11612.528223358026,14240.642434725116,48757.17790206717,4675.901412085006,25798.563402080254,781.1372051343078,5429.295042085886,14240.642434725125
2006-06-05,-6280.796468438901,14950.802858443538,270.89576986352415,-10553.179071795881,316.37513966257336,262.16599692299997,11852.450351161848,14117.071476217498,48941.74284472356,4665.513905553984,25728.237838348163,779.0644463032731,5491.2596668499,14117.071476217512
2006-06-06,-6231.397160969857,14959.87128432236,223.88960954189668,-10434.289809830561,172.06088299282987,258.4515241773165,11775.259831107644,14133.976362046898,49017.59166160287,4648.109534533882,25648.754956817123,715.2222626981358,5477.036098928373,14133.976362046897
2006-06-07,-6135.828125072935,15011.697528960265,46.44060729208363,-10447.597411046449,360.8476498224325,-80.94920687437752,11948.880850400443,14114.95341154392,48809.84469879244,4599.9849738798675,25820.863903903733,754.2710396653208,5353.402312511375,14114.953411543916
2006-06-08,-6003.123402696674,15055.275842778514,-18.809434140452595,-10438.396035139065,453.7609858119905,-512.935112304056,12094.484340276507,14132.976983532513,48638.972846561686,4557.668535090496,26009.07997003227,751.3621107707951,5337.316935882804,14132.976983532519
2006-06-09,-6032.441609207244,15021.104926734304,-84.3262919171143,-10116.675195342044,539.6679143096442,-544.0525772071519,12111.891916932047,14080.817232306747,48490.19942568106,4543.798075527427,26068.7086412896,691.8599888001567,5264.487847461495,14080.81723230674
2006-06-10,-5760.929496554991,15222.660946215727,-835.9710593145455,-9928.008920203696,481.40362176974355,-1494.0694341963813,12424.226284398466,14413.992636676623,48513.43936067296,4619.821000546896,25934.966309456577,702.4199533810438,5138.500543779286,14413.992636676616
2006-06-11,-5723.4369583185335,15115.78781016871,-1219.7822885205119,-9693.352955668435,587.8677476848679,-2551.674516343297,12616.571657785367,14284.578670751374,48451.080136844,4462.766605171796,25885.135646147788,607.1883243638731,5083.40121473358,14284.578670751353
2006-06-12,-5767.567843608844,15153.972672533053,-1372.5806862701752,-9387.86321952204,302.0437369070596,-2883.4719883666457,12494.870126445734,14279.7430749434,48530.38688870692,4379.390675001998,25778.735138078777,780.0001162020735,5111.181536456186,14279.743074943386
2006-06-13,-5953.00519293446,10670.81187576826,-2617.8569879700403,-8966.75934080566,993.5744185744334,-5046.484882399647,12081.714450665468,13079.977316792161,49598.52075201101,3387.282569180391,23684.866912799745,-1481.3121130961208,5837.55818300162,13079.977316792178
2006-06-14,-4520.665540171998,12467.16080973926,-1944.4868703193715,-5355.691040116784,1186.5328723490238,-6333.402876896318,23530.11034415081,18415.93488763441,56437.01286629813,4665.345916403636,40546.22727063876,-10884.578677798243,7414.522627604652,18415.93488763438
2006-06-15,-5071.527405022203,11485.663573168742,-3261.896127203996,-5165.337335028889,523.9509443916504,-7745.497832358611,22931.605170121213,18278.417522868665,56997.30213914937,4219.187476187093,37520.779621181835,-8857.204580540882,7617.060676441819,18278.41752286878
2006-06-16,-5306.559272173952,10670.851167952409,-3552.542070235477,-5212.312235654979,-1196.4256116162833,-8343.522756290738,22630.5080060512,18933.797413097,56228.29191496682,4145.1595165608,37518.84973373054,-8709.072688673928,8857.793229786868,18933.797413097203
2006-06-17,-3648.2520817437908,8363.510741567326,-1710.4529812164656,-6011.946245687432,-1954.9952890493587,-6681.557055013895,20157.66530686119,16523.371955770883,54916.102208117496,3578.6813503992416,40128.2988384285,-14182.484789063958,7914.399362100274,16523.371955770883
2006-06-18,-3152.5151285440115,10219.626228360605,-842.942598662954,-5799.669606216858,-1879.1159331832023,-5599.137858099668,19449.92038727788,17870.715891211265,55698.1250208932,3564.9853579979235,40257.169046094015,-14079.724560724659,7761.165221276373,17870.715891211294
2006-06-19,-3422.0010203206766,10801.818683165198,-1103.7584857781874,-5835.5693356912925,-2438.825696334403,-5941.631620050197,19728.17557963617,17986.45955832352,55673.607758929196,3626.955294290012,40486.56924207444,-14334.164976646818,7931.707829208835,17986.459558323433
2006-06-20,-3293.2628776306065,11536.150332938,-957.8132486788991,-5790.126133239158,-2515.785586241407,-5618.970268756377,19919.009013243707,18120.071302384156,55193.22184980342,3515.100931448964,41185.62905534439,-14318.408195450722,7970.346998588448,18120.071302384098
