Date,ATM_WITHDRWLS_1WEEKAGO,HOLIDAY,AVG_ATM_WITHDRW_PREVMONTH,ATM_WITHDRWLS_2WEEKAGO,DAY_OF_WEEK,MONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,BRA_WITHDRWLS,BRA_DEPOSITS,IsSaturday,IsSunday
2006-05-26,-3620.1796275277943,5779.276833764777,-1030.4411905384413,-6784.133388512578,-4875.892185868856,-8117.160277666395,7165.8091981925445,11523.479241602818,39369.4621188328,1908.4882474478734,14259.907850196249,4216.1630022549225,4152.647128642803,11523.479241602825
2006-05-27,-3319.53463189111,5853.627324350977,-682.9399985552432,-6507.141094499549,-5471.589418215985,-4993.800855092535,7635.486220184539,10812.694528962506,39801.916097265734,-1163.8663845296765,14339.503938503321,4331.107440043397,4269.430947532651,10812.694528962496
2006-05-28,-3575.881678300164,5618.2266139919375,-808.9111252577052,-6330.88976667385,-5139.320231803853,-7610.22302872398,8158.507361016414,10589.084007826215,39374.11708476745,1198.4799185495658,14211.534365455065,4186.050006882097,4278.004346836168,10589.084007826212
2006-05-29,-3697.0384191305243,5693.396859799759,-485.1386613970142,-6164.202055166406,-4692.329223279379,-5281.517681067691,8209.95692453275,10441.72729647092,38791.91345443061,-1312.4245741693385,13901.626862616245,4482.05406206105,4147.696775115252,10441.727296470901
2006-05-30,-4148.524001777095,5659.677846787458,-222.36277911751137,-5729.37842652685,-4159.9258061857545,-3220.4409817429096,8417.631224548277,10283.031631485836,38853.71666515043,-3536.1418332284943,13889.480153843106,4084.446259933404,4083.895526857883,10283.031631485837
2006-05-31,-4121.521059880461,5682.761333817423,-112.87964405773425,-5415.674769576408,-4048.534755135061,-3281.8241761545514,8672.083326866124,10341.629889671482,39074.660085973825,-3542.380244693324,13938.410981424315,3881.332222646813,4122.96027237264,10341.62988967148
2006-06-01,-3944.0129050780656,5704.091662373894,-321.96842483441026,-5542.33778558728,-3807.4602853210936,-3446.38716251159,8638.055945502281,10199.84212687168,39274.84004437429,-3649.7422936469216,13967.431399819914,3609.748282832128,3940.965167498103,10199.842126871676
2006-06-02,-3500.1502413123017,5615.297737981603,-507.72904409387655,-5426.444369948544,-3525.225705006926,-4626.138333126358,8623.481941861308,10022.14679059326,39286.60190239123,-2293.627917920545,14049.040052930639,3285.8196359374224,3781.735640377406,10022.146790593264
2006-06-03,-4362.43838139477,5499.300162561798,330.462330078504,-5649.837674406504,-3884.691390340151,-4267.346405417671,8323.962667166612,9016.649144027748,39125.97424303158,-2235.9245655569152,14169.43379497705,3236.067239051548,4152.716990797079,9016.649144027755
2006-06-04,-4052.581808008745,5652.676951970102,788.1354436715279,-5633.78622572839,-3530.532078416606,-3936.5029636900717,7742.55523248423,9244.956883852377,39207.275713553165,-2457.6197554717514,14328.249680805997,3206.826627081317,4001.667277126193,9244.956883852374
