ATM_ID,Date,MAE,RMSE,SMAPE,Best Order
Z1031001,2006-07-04,1661.960794654893,1661.960794654893,5.750924486284102,"(0, 0, 1)"
Z1031001,2006-07-05,8033.353242818797,8033.353242818797,12.282790579701725,"(0, 0, 1)"
Z1031001,2006-07-06,11094.93049585401,11094.93049585401,62.994513008601245,"(0, 0, 1)"
Z1031001,2006-07-07,4291.593479422743,4291.593479422743,18.181479933923253,"(1, 0, 1)"
Z1031001,2006-07-10,7316.814346186221,7316.814346186221,88.77912922189776,"(0, 0, 1)"
Z1031001,2006-07-11,629.0478440860925,629.0478440860925,13.425484060805491,"(0, 0, 1)"
Z1031001,2006-07-12,12022.384177509331,12022.384177509331,199.99999998336438,"(0, 0, 1)"
Z1031001,2006-07-13,16282.515271562092,16282.515271562092,199.99999998771688,"(0, 0, 1)"
Z1031001,2006-07-14,5729.435383360995,5729.435383360995,186.00358048210074,"(0, 0, 1)"
Z1031001,2006-07-17,2191.540329046089,2191.540329046089,4.208772641734786,"(0, 0, 1)"
Z1031001,2006-07-18,2602.847314311708,2602.847314311708,5.577559003462864,"(0, 0, 1)"
Z1031001,2006-07-19,4000.7254041137858,4000.7254041137858,8.126540582862695,"(0, 0, 1)"
Z1031001,2006-07-20,1017.7403528677169,1017.7403528677169,2.1283237121705127,"(0, 0, 1)"
Z1031001,2006-07-21,5250.821466168141,5250.821466168141,6.091469241087197,"(1, 0, 1)"
Z1031001,2006-07-24,1275.275643366418,1275.275643366418,2.0025483977709677,"(0, 0, 1)"
Z1031001,2006-07-25,1409.1313295066357,1409.1313295066357,1.9432390121614513,"(0, 0, 1)"
Z1031001,2006-07-26,9268.723302496568,9268.723302496568,11.948752130626211,"(0, 0, 1)"
Z1031001,2006-07-27,2699.857535749321,2699.857535749321,10.56692762680765,"(0, 0, 1)"
Z1031001,2006-07-28,787.4579963895012,787.4579963895012,4.278795870366001,"(0, 0, 1)"
Z1031001,2006-07-31,17858.292662221902,17858.292662221902,81.06665775148971,"(0, 0, 1)"
Z1031001,2006-08-01,1698.810184087015,1698.810184087015,7.378302185263312,"(0, 0, 1)"
Z1031001,2006-08-02,144.38165044011475,144.38165044011475,0.5320313423518108,"(0, 0, 1)"
Z1031001,2006-08-03,2752.011261195068,2752.011261195068,15.650660500128064,"(0, 0, 1)"
Z1031001,2006-08-04,6628.67759305206,6628.67759305206,74.09935880544384,"(0, 0, 1)"
Z1031001,2006-08-07,2251.012167134002,2251.012167134002,3.6587252065383837,"(0, 0, 1)"
Z1031001,2006-08-08,157.85818016128542,157.85818016128542,0.7502383354599856,"(0, 0, 1)"
Z1031001,2006-08-09,7519.637306915687,7519.637306915687,154.08520241718654,"(0, 0, 1)"
Z1031001,2006-08-10,6121.61778653823,6121.61778653823,98.43109306322474,"(0, 0, 1)"
Z1031001,2006-08-11,7777.851385435392,7777.851385435392,199.99999997428594,"(0, 0, 1)"
Z1031001,2006-08-14,7899.6756927543065,7899.6756927543065,45.94213544263815,"(0, 0, 1)"
Z1031001,2006-08-15,8053.838581925596,8053.838581925596,35.476465573350424,"(0, 0, 1)"
Z1031001,2006-08-16,3333.454532901622,3333.454532901622,17.762577808502655,"(0, 0, 1)"
Z1031001,2006-08-17,598.5452144453957,598.5452144453957,1.1697356322299188,"(0, 0, 1)"
Z1031001,2006-08-18,3866.217876601433,3866.217876601433,6.540926356829371,"(0, 0, 1)"
Z1031001,2006-08-21,12209.68686509697,12209.68686509697,12.565264167871009,"(0, 0, 1)"
Z1031001,2006-08-22,332.21007976420515,332.21007976420515,0.43663653120829543,"(0, 0, 1)"
Z1031001,2006-08-23,3520.257666692065,3520.257666692065,7.554990735716135,"(0, 0, 1)"
Z1031001,2006-08-24,4076.2400389208124,4076.2400389208124,7.422395445145013,"(0, 0, 1)"
Z1031001,2006-08-25,642.7318745877856,642.7318745877856,0.7577476116797635,"(0, 0, 1)"
Z1031001,2006-08-28,6283.407286598114,6283.407286598114,14.02806050103876,"(0, 0, 1)"
Z1031001,2006-08-29,54.217598693750915,54.217598693750915,0.333998411138858,"(0, 0, 1)"
Z1031001,2006-08-31,2129.369444322962,2129.369444322962,56.854210822742374,"(0, 0, 1)"
Z1031001,2006-09-01,5197.446201153036,5197.446201153036,89.16955070645078,"(0, 0, 1)"
Z1031001,2006-09-04,3287.145883135323,3287.145883135323,7.987510313533833,"(0, 0, 1)"
Z1031001,2006-09-05,2967.407332599403,2967.407332599403,6.383758389542506,"(0, 0, 1)"
Z1031001,2006-09-06,4837.076222307809,4837.076222307809,18.14456667521937,"(0, 0, 1)"
Z1031001,2006-09-07,951.7514179710088,951.7514179710088,3.1613477287795315,"(1, 0, 1)"
Z1031001,2006-09-08,6686.900792170294,6686.900792170294,94.22749314695537,"(0, 0, 1)"
Z1031001,2006-09-11,4852.574580340013,4852.574580340013,46.36385802887102,"(0, 0, 1)"
Z1031001,2006-09-12,6272.622230757991,6272.622230757991,199.9999999681154,"(0, 0, 1)"
Z1031001,2006-09-13,3710.2671581843197,3710.2671581843197,65.38069590832527,"(1, 0, 1)"
Z1031001,2006-09-14,5301.9415910008665,5301.9415910008665,158.3127905569146,"(1, 0, 1)"
Z1031001,2006-09-15,8627.27504587366,8627.27504587366,52.08563054864271,"(1, 0, 1)"
Z1031001,2006-09-18,5429.621933297283,5429.621933297283,9.483258859089872,"(1, 0, 1)"
Z1031001,2006-09-19,4442.60010152786,4442.60010152786,8.234463483375842,"(1, 0, 1)"
Z1031001,2006-09-20,3522.614069963267,3522.614069963267,6.901496600615073,"(0, 0, 1)"
Z1031001,2006-09-21,1912.5990642142715,1912.5990642142715,2.6367474995805424,"(1, 0, 1)"
Z1031001,2006-09-22,653.7176983586105,653.7176983586105,0.8581997387504037,"(0, 0, 1)"
Z1031001,2006-09-25,1030.7443352648988,1030.7443352648988,1.2587763571066386,"(0, 0, 1)"
Z1031001,2006-09-26,8321.676296901627,8321.676296901627,12.252324778431515,"(0, 0, 1)"
Z1031001,2006-09-27,117.12703678942489,117.12703678942489,0.7418473292345752,"(1, 0, 1)"
Z1031001,2006-09-28,3761.183543973142,3761.183543973142,26.102276265103573,"(1, 0, 1)"
Z1031001,2006-09-29,3239.9892305751,3239.9892305751,45.89216372782698,"(1, 0, 1)"
Z1031001,2006-10-02,2453.4005166916213,2453.4005166916213,12.468556640174851,"(1, 0, 1)"
Z1031001,2006-10-03,1128.1243099752646,1128.1243099752646,5.539780331456423,"(1, 0, 1)"
Z1031001,2006-10-04,364.9317964444381,364.9317964444381,1.3322341909402948,"(1, 0, 1)"
Z1031001,2006-10-05,4579.076159106713,4579.076159106713,6.679861857659497,"(1, 0, 1)"
