ATM_ID,Date,MAE,RMSE,SMAPE,Best Order
Z0241002,2006-07-04,11853.853633079532,11853.853633079532,7.6207572053303805,"(0, 0, 1)"
Z0241002,2006-07-05,21492.700106297183,21492.700106297183,8.111718606117552,"(0, 0, 1)"
Z0241002,2006-07-06,5796.979274251862,5796.979274251862,5.33725533871777,"(0, 0, 1)"
Z0241002,2006-07-07,5166.038155403716,5166.038155403716,4.330908284620852,"(0, 0, 1)"
Z0241002,2006-07-10,13319.746469108242,13319.746469108242,19.134852356548596,"(0, 0, 1)"
Z0241002,2006-07-11,4211.855691533485,4211.855691533485,7.264835334247609,"(0, 0, 1)"
Z0241002,2006-07-12,369.61025313902064,369.61025313902064,0.6632731459714154,"(0, 0, 1)"
Z0241002,2006-07-13,3401.191131279069,3401.191131279069,8.078953080064736,"(0, 0, 1)"
Z0241002,2006-07-14,3039.0007743906317,3039.0007743906317,8.043834267666554,"(0, 0, 1)"
Z0241002,2006-07-17,11477.756999834237,11477.756999834237,5.5571895631316,"(0, 0, 1)"
Z0241002,2006-07-18,3389.0561840202718,3389.0561840202718,2.5016187409828223,"(0, 0, 1)"
Z0241002,2006-07-19,38679.56987148931,38679.56987148931,27.58692618284626,"(0, 0, 1)"
Z0241002,2006-07-20,12197.418729877376,12197.418729877376,12.901684171941449,"(1, 0, 1)"
Z0241002,2006-07-21,7394.295744224917,7394.295744224917,2.572261316367394,"(0, 0, 1)"
Z0241002,2006-07-24,2323.000289450807,2323.000289450807,1.127076414158726,"(1, 0, 1)"
Z0241002,2006-07-25,19722.583859038772,19722.583859038772,7.515332380521926,"(0, 0, 1)"
Z0241002,2006-07-26,15934.109353996057,15934.109353996057,6.656882222292557,"(0, 0, 1)"
Z0241002,2006-07-27,5924.145166282207,5924.145166282207,5.4649740776046905,"(0, 0, 1)"
Z0241002,2006-07-28,4819.310334973066,4819.310334973066,5.3992033981120935,"(0, 0, 1)"
Z0241002,2006-07-31,22956.66832750544,22956.66832750544,53.26579036678061,"(0, 0, 1)"
Z0241002,2006-08-01,8871.515949790935,8871.515949790935,199.99999997745593,"(0, 0, 1)"
Z0241002,2006-08-02,5418.627900992287,5418.627900992287,8.525308981733216,"(0, 0, 1)"
Z0241002,2006-08-03,6747.5399569141155,6747.5399569141155,3.283893587782588,"(0, 0, 1)"
Z0241002,2006-08-04,9415.887626443786,9415.887626443786,5.0765538116490525,"(0, 0, 1)"
Z0241002,2006-08-07,2722.843095584438,2722.843095584438,2.7595848022574954,"(0, 0, 1)"
Z0241002,2006-08-08,2305.364313004655,2305.364313004655,2.728801044361226,"(0, 0, 1)"
Z0241002,2006-08-09,9821.446252318296,9821.446252318296,23.643758368805607,"(0, 0, 1)"
Z0241002,2006-08-10,4067.1087309110444,4067.1087309110444,8.937434409904709,"(0, 0, 1)"
Z0241002,2006-08-11,11013.655036124386,11013.655036124386,16.851575350710476,"(0, 0, 1)"
Z0241002,2006-08-14,577.4988427630451,577.4988427630451,0.4294988948254075,"(0, 0, 1)"
Z0241002,2006-08-15,5796.879536451888,5796.879536451888,3.454256602814737,"(0, 0, 1)"
Z0241002,2006-08-16,3236.6206493583886,3236.6206493583886,3.133931441371661,"(0, 0, 1)"
Z0241002,2006-08-17,5827.648569805693,5827.648569805693,2.8409008558713755,"(0, 0, 1)"
Z0241002,2006-08-18,27199.552665857656,27199.552665857656,16.452691425737015,"(0, 0, 1)"
Z0241002,2006-08-21,22441.144577474624,22441.144577474624,9.806931215919422,"(0, 0, 1)"
Z0241002,2006-08-22,16172.305713951151,16172.305713951151,7.490086081992371,"(0, 0, 1)"
Z0241002,2006-08-23,29533.2445968666,29533.2445968666,16.096023256623614,"(0, 0, 1)"
Z0241002,2006-08-24,42961.73578030194,42961.73578030194,27.428652065118417,"(0, 0, 1)"
Z0241002,2006-08-25,3358.87900436396,3358.87900436396,1.1054055157415354,"(0, 0, 1)"
Z0241002,2006-08-28,7684.359829882422,7684.359829882422,5.156325728626193,"(0, 0, 1)"
Z0241002,2006-08-29,2310.1364945598034,2310.1364945598034,2.722770506605434,"(0, 0, 1)"
Z0241002,2006-08-31,24770.864551877316,24770.864551877316,59.1478515604396,"(0, 0, 1)"
Z0241002,2006-09-01,9060.164622080745,9060.164622080745,5.462046190155527,"(0, 0, 1)"
Z0241002,2006-09-04,27963.408652970684,27963.408652970684,15.926460924810781,"(0, 0, 1)"
Z0241002,2006-09-05,25046.798723485175,25046.798723485175,11.524427385848515,"(0, 0, 1)"
Z0241002,2006-09-06,6196.827203940673,6196.827203940673,8.164292076062212,"(0, 0, 1)"
Z0241002,2006-09-07,6736.4926691453,6736.4926691453,7.0634044255306465,"(0, 0, 1)"
Z0241002,2006-09-08,10171.840199843151,10171.840199843151,17.803454991388026,"(0, 0, 1)"
Z0241002,2006-09-11,2361.422162133211,2361.422162133211,3.734612693327162,"(0, 0, 1)"
Z0241002,2006-09-12,5910.040082039544,5910.040082039544,10.937433652184877,"(0, 0, 1)"
Z0241002,2006-09-13,14661.228973937406,14661.228973937406,41.16659255111122,"(0, 0, 1)"
Z0241002,2006-09-14,23737.07064517481,23737.07064517481,121.25310180216795,"(0, 0, 1)"
Z0241002,2006-09-15,5947.74603502106,5947.74603502106,7.5921119137238335,"(0, 0, 1)"
Z0241002,2006-09-18,9471.132617643656,9471.132617643656,6.2220259187322435,"(0, 0, 1)"
Z0241002,2006-09-19,7881.317098944302,7881.317098944302,5.089624527751625,"(0, 0, 1)"
